routecode,stopcode,tripdirection,long,lat
035,4397,0,-122.435476,37.7419200000001
035,7253,1,-122.435197,37.7626740000001
036,3540,1,-122.42206,37.7424350000001
036,4386,0,-122.434102,37.73339
036,4387,1,-122.434309,37.733327
036,5245,1,-122.458836,37.7483270000001
036,5247,0,-122.458939,37.748157
036,5247,1,-122.458939,37.748157
036,5433,0,-122.448536,37.731481
036,5452,0,-122.453794,37.7367360000001
036,5452,1,-122.453794,37.7367360000001
036,5571,0,-122.421819,37.7424350000001
036,6229,0,-122.449361,37.740823
036,6229,1,-122.449361,37.740823
036,6678,1,-122.449223,37.740975
036,6679,0,-122.449177,37.740707
036,6882,0,-122.420351,37.7479940000001
036,6882,1,-122.420351,37.7479940000001
036,7528,1,-122.448753,37.7316950000001
037,3254,1,-122.429088,37.767768
037,3255,0,-122.42913,37.7676700000001
037,5665,1,-122.435449,37.76246
037,5667,0,-122.43538,37.76262
037,5711,0,-122.445407,37.770089
037,5711,1,-122.445407,37.770089
037,6010,0,-122.444766,37.7470420000001
037,6012,1,-122.4442,37.74715
037,6086,0,-122.44578,37.75041
037,6086,1,-122.44578,37.75041
038,3545,0,-122.49195,37.7766800000001
038,3545,1,-122.49195,37.7766800000001
038,3559,1,-122.493215,37.779548
038,3560,0,-122.493376,37.779566
038,3608,0,-122.509411,37.7790230000001
038,3608,1,-122.509411,37.7790230000001
038,4269,0,-122.48461,37.78022
038,4270,1,-122.484825,37.779979
038,4278,0,-122.493445,37.779798
038,4279,1,-122.493399,37.779574
038,4295,0,-122.43305,37.784391
038,4296,1,-122.433313,37.784257
038,4347,0,-122.397532,37.792608
038,4347,1,-122.397532,37.792608
038,4755,0,-122.472423,37.7806870000001
038,4756,1,-122.472676,37.7805260000001
038,4757,0,-122.408391,37.787401
038,4758,0,-122.446805,37.7825090000001
038,4759,1,-122.445934,37.7823220000001
038,4768,0,-122.420635,37.7858430000001
038,5511,0,-122.504106,37.7818270000001
038,5511,1,-122.504106,37.7818270000001
038,5641,1,-122.403209,37.7877120000001
038,5684,0,-122.40248,37.78849
